Date,Portfolio,VGT
10/7/2019,-0.003283881,-0.003150232
10/8/2019,-0.00609182,-0.019418137
10/9/2019,0.005909753,0.014259507
10/10/2019,0.003501273,0.006027395
10/11/2019,0.005381383,0.014625921
10/14/2019,-0.001462701,-4.31E-05
10/15/2019,0.005166859,0.010387931
10/16/2019,0.000729433,-0.008740621
10/17/2019,0.00467376,-0.000961148
10/18/2019,0.002217614,-0.010568436
10/21/2019,0.004314088,0.010033089
10/22/2019,-0.003844203,-0.013549499
10/23/2019,-0.000416984,0.001024466
10/24/2019,0.005930423,0.015293056
10/25/2019,2.59E-05,0.012053028
10/28/2019,0.000490691,0.011461048
10/29/2019,0.00060961,-0.008120368
10/30/2019,0.003675713,0.006747092
10/31/2019,-0.002077892,-0.001163715
11/1/2019,0.005523522,0.013012292
11/4/2019,-0.003090044,0.004549612
11/5/2019,-0.004607835,-0.000970173
11/6/2019,0.001321966,-0.001007935
11/7/2019,-0.005485135,0.008099255
11/8/2019,1.31E-05,0.005369833
