

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
         15    VST    -0.1987         -3.6784      0.0540
         15    CLS    -0.2753         -4.6905      0.0587
         15    MTZ    -0.1917         -5.3716      0.0357
         15    VRT    -0.4513         -8.6865      0.0520
         15    CCJ    -0.2503         -9.3603      0.0267
         15    APH    -0.2334        -10.3926      0.0225
         15    NVT    -0.3467        -12.6720      0.0274
         15   ANET    -0.4796        -12.9435      0.0371
         15   FLEX    -0.4322        -15.7037      0.0275
         15    CEG    -0.6573        -15.7860      0.0416
         15   BWXT    -0.3324        -15.9676      0.0208
         15    DLR    -0.3788        -16.1963      0.0234
         15    IRM    -0.3748        -16.7641      0.0224
         15   COHR    -1.1358        -24.3943      0.0466
         15   CIEN    -1.0822        -28.7866      0.0376
         16    KMI     0.8817         67.8038      0.0130
         16    ETR     1.0353         57.6714      0.0180
         16    EXE     0.9835         51.9747      0.0189
         16     AR     1.0645         40.3243      0.0264
         16    WMB     0.5609         31.2722      0.0179
         16    RRC     0.5430         21.9121      0.0248
         16    EQT     0.5286         18.8104      0.0281
         16    DTM     0.3838         16.7543      0.0229
         16     ET     0.2537         12.4003      0.0205
         16   TRGP     0.2038          8.8550      0.0230
         16    WDC    -0.0926         -2.7703      0.0334
         16    CRS    -0.1314         -3.7576      0.0350
         16   KNTK    -0.2025         -8.2716      0.0245
         16    BCE    -0.3193        -17.4279      0.0183
         17    IBN     1.2870        129.0385      0.0100
         17    AER     0.5592         28.3084      0.0198
         17    LUV     0.6746         24.6195      0.0274
         17   TEVA     0.0209          0.6385      0.0327
         17   MMYT    -0.0470         -1.5885      0.0296
         17   FTAI    -0.7413        -14.0745      0.0527
         18     BJ     0.4038         12.7079      0.0318
         18     BG     0.0959          5.7936      0.0166
         18   RBLX    -0.3138        -10.1139      0.0310
         18   ONON    -0.3655        -10.8677      0.0336
         18    ADM    -0.3145        -14.1815      0.0222
         18   DKNG    -0.6444        -16.5529      0.0389
         18    MDB    -1.3243        -20.2396      0.0654
         18   MRVL    -1.1482        -20.9329      0.0549
         18    TKO    -0.6003        -25.5366      0.0235
         18   ROKU    -1.1441        -29.9989      0.0381
         18    SGI    -0.6189        -30.5635      0.0202
         19    CNQ     0.4832         26.7156      0.0181
         19    EWY     0.3807         23.0967      0.0165
         19     MU     0.7715         18.4010      0.0419
         19   KLAC     0.4263         16.1252      0.0264
         19   CDNS     0.3179         14.1448      0.0225
         19    YPF     0.3661         11.4166      0.0321
